Policy queue Mean time = 353.4, Max time = 1189.6, Mean pen = 1020.3, Max pen = 4758.2
Call	Wait On Scene(s)	Wait Penalized(s)	Amb:
Id0, t64864.4, p2 r16 h3	169.166	169.166	26
Id1, t65116.4, p1 r33 h7	320.468	640.935	31
Id2, t65380.3, p1 r39 h0	117.503	235.005	9
Id3, t65648.5, p0 r43 h7	531.33	2125.32	33
Id4, t66186.4, p2 r45 h7	376.205	376.205	32
Id5, t66212.6, p2 r47 h1	183.954	183.954	23
Id6, t66702.2, p0 r18 h3	153.18	612.718	27
Id7, t66780.4, p2 r20 h2	48.5376	48.5376	5
Id8, t66916.1, p0 r37 h1	277.313	1109.25	24
Id9, t66920.8, p0 r44 h7	949.731	3798.92	21
Id10, t66976.2, p2 r44 h7	891.354	891.354	29
Id11, t67204.4, p0 r45 h6	1189.56	4758.25	15
Id12, t67247.3, p2 r49 h0	38.9003	38.9003	2
Id13, t67539.2, p2 r49 h0	154.349	154.349	0
Id14, t67815.7, p1 r64 h9	73.1025	146.205	22
Id15, t68229.4, p2 r64 h9	253.923	253.923	14
Id16, t68863.7, p1 r38 h2	52.826	105.652	12
Id17, t69192, p2 r39 h8	    16.6803	16.6803	3
Id18, t69439.3, p0 r55 h6	720.452	2881.81	33
Id19, t69753.6, p1 r56 h6	867.73	1735.46	31
Id20, t69830.3, p2 r57 h9	326.793	326.793	18
Id21, t70057.8, p2 r63 h6	153.605	153.605	20
Id22, t70327.1, p0 r23 h4	758.816	3035.26	30
Id23, t70714.8, p1 r29 h2	77.3314	154.663	6
Id24, t70979.8, p0 r34 h7	318.734	1274.93	21
Id25, t71047.1, p0 r38 h1	265.9	1063.6	24
Id26, t71178.5, p0 r44 h7	516.791	2067.17	15
Id27, t71248.3, p2 r48 h1	11.9345	11.9345	10
Id28, t71488.1, p2 r48 h1	50.0485	50.0485	13
Id29, t71640.7, p0 r49 h0	250.976	1003.9	0
Id30, t71710.2, p1 r49 h0	123.256	246.512	1
Id31, t71780, p2 r54 h7	    352.389	352.389	29
Id32, t71861, p0 r55 h6	    1081.49	4325.95	27
Id33, t71972.6, p2 r63 h9	341.29	341.29	14

====================================================================================

Policy forward Mean time = 362.0, Max time = 1189.6, Mean pen = 1054.7, 	Max pen = 4758.2
Call	Wait On Scene(s)	Wait Penalized(s)	Amb:
Id0, t64864.4, p2 r16 h3	169.166	169.166	26
Id1, t65116.4, p1 r33 h7	320.468	640.935	31
Id2, t65380.3, p1 r39 h0	117.503	235.005	9
Id3, t65648.5, p0 r43 h7	531.33	2125.32	33
Id4, t66186.4, p2 r45 h7	376.205	376.205	32
Id5, t66212.6, p2 r47 h1	183.954	183.954	23
Id6, t66702.2, p0 r18 h3	153.18	612.718	27
Id7, t66780.4, p2 r20 h2	48.5376	48.5376	5
Id8, t66916.1, p0 r37 h1	277.313	1109.25	24
Id9, t66920.8, p0 r44 h7	949.731	3798.92	21
Id10, t66976.2, p2 r44 h7	891.354	891.354	29
Id11, t67204.4, p0 r45 h6	1189.56	4758.25	15
Id12, t67247.3, p2 r49 h0	38.9003	38.9003	2
Id13, t67539.2, p2 r49 h0	154.349	154.349	0
Id14, t67815.7, p1 r64 h9	73.1025	146.205	22
Id15, t68229.4, p2 r64 h9	253.923	253.923	14
Id16, t68863.7, p1 r38 h2	52.826	105.652	12
Id17, t69192, p2 r39 h8	    16.6803	16.6803	3
Id18, t69439.3, p0 r55 h6	720.452	2881.81	33
Id19, t69753.6, p1 r56 h6	867.73	1735.46	31
Id20, t69830.3, p2 r57 h9	326.793	326.793	18
Id21, t70057.8, p2 r63 h6	153.605	153.605	20
Id22, t70327.1, p0 r23 h4	718.456	2873.83	21
Id23, t70714.8, p1 r29 h2	77.3314	154.663	6
Id24, t70979.8, p0 r34 h7	787.47	3149.88	30
Id25, t71047.1, p0 r38 h1	265.9	1063.6	24
Id26, t71178.5, p0 r44 h7	516.791	2067.17	15
Id27, t71248.3, p2 r48 h1	11.9345	11.9345	10
Id28, t71488.1, p2 r48 h1	50.0485	50.0485	13
Id29, t71640.7, p0 r49 h0	250.976	1003.9	0
Id30, t71710.2, p1 r49 h0	123.256	246.512	1
Id31, t71780, p2 r54 h7	    352.389	352.389	29
Id32, t71861, p0 r55 h6	    945.012	3780.05	33
Id33, t71972.6, p2 r63 h9	341.29	341.29	14
=============== END Simulate Policies ====================
